cosit,Description
1282,"N28 Between Ringaskiddy and Shannonpark Roundabout, Raffeen Co Cork"
1283,"N28 Between N40 & Rochestown, Co Cork"
1291,"N29 Between Slieverue and Belview Port, Rathpatrick Co.Kilkenny"
1301,"N30 Between Scarawalsh Roundabout (N30/N80) and M11 Jn25 Enniscorthy, Co. Wexford"
1302,"N30 Between N30/N80 Scarawalsh Roundabout and N30/R702 Roundabout, Co. Wexford"
1303,"N30 Between N30/R744 Roundabout and N30/N702 Roundabout, Co. Wexford"
1311,"N31 Between Stillorgan Road and Rock Road, Blackrock, Co. Dublin"
1312,"N31 Brewery Road, Leopardstown, Co. Dublin"
1331,"N33 Between Ardee and M01, Richardstown, Co. Louth"
1401,"N40 Between J9 and J6, South Ring Road, Cork."
1403,"N40 Between Jn 4 Sarsfield Road and Jn 5 Togher, Cork"
1404,"N40 Between Jn 4 Sarsfield and Bandon Road N71, Cork"
1405,"N40 Between Jn 2 Curraheen and Jn 3 Wilton, Cork"
1500,"M50 Between Jn3 M50/M01 and Jn04 Ballymun, Ballymun, Co. Dublin"
1501,"M50 Between Jn05 N02/M50 and Jn04 Ballymun, Finglas, Co. Dublin"
1502,"M50 Between Jn06 N03/M50 and Jn05 N02/M50, Finglas, Co. Dublin"
1503,"M50 Between Jn07 N04/M50 and Jn09 N07/M50 Red Cow, Palmerstown, Co. Dublin"
1504,"M50 Between Jn10 - Ballymount and Jn11 - Tymon, Co. Dublin"
1505,"M50 Between Jn11 Tallaght and Jn12 Firhouse, Co. Dublin"
1506,"M50 Between Jn12 Firhouse and Jn13 Dundrum, Balinteer, Co. Dublin"
1507,"M50 Between Jn13 Dundrum and Jn14 Dun Laoghaire, Sandyford, Co. Dublin"
1508,"M50 Between Jn06 N03/M50 and Jn07 N04/M50, Castleknock, Co. Dublin"
1509,"M50 Between Jn09 N07/M50 Red Cow and Jn10 Ballymount, Ballymount, Co. Dublin"
1511,"N51 Between Athboy and Navan, Rathmore, Co. Meath"
1512,"N51 Between Slane and M1 Jn10, Littlegrange Co Louth"
1716,N71 Between Ballinhassig and N40
1717,"N71 Between Aghadown and Ballydehob, Skeaghanore East Co Cork"
1721,"N72 Between Killarney and Kilorglin, East of Beaufort, Co. Kerry"
1722,"N72 Between Killarney and Rathmore, Co. Kerry"
1723,"N72 Between Dungarvan and Cappoquin, west of R671 Jn, Co. Waterford"
1731,"N73 Between Kildorrery and Mallow, South of Ballinamona Cross, Co. Cork"
1741,"N74 Between Golden and Tipperary Town, West of Golden, Co. Tipperary"
1751,"N75 Between Thurles and Twomileborris, Co. Tipperary"
1761,"N76 Between Callan and Kilbride, South of Callan, Co. Kilkenny"
1771,"N77 North of Ring Road Roundabout, Kilkenny City, Co. Kilkenny"
1781,"N78 Between Athy and Castlecomer, Southwest of N78/N80 Jn, Co. Laois"
1782,"N78 Between Athy and M09 Jn03 Athy, Ballycullane, Co. Kildare"
1801,"N80 Between Carlow Town and Strabally, Coolhenry, Co. Carlow"
1803,"R420 Between Clara and Tullamore, Loughaun, Co. Offaly"
1811,"N81 Between Blessington and Tallaght, South of R114 Jn, Co. Wicklow"
1812,"N81 Between Tallaght Village and M50, Tallaght, Co. Dublin"
1831,"N83 Between Tuam and Dunmore, Joycegrove, Co. Galway"
1832,"N83 Between N17/N83 Jn and Ballyhaunis, Southeast of N17/N83 Jn, Co. Mayo"
1841,"N84 Between Galway City and Headford, Curraghline, Co. Galway"
1842,"N84 Between Ballinrobe and Partry, Cloonkerry, Co. Mayo"
1851,"N85 Between Ennistimon and Inagh, North of Drumcullaun, Co. Clare"
1871,"N87 Between Ballyconnel and NI Border, North of Swanlinbar, Co. Cavan"
3101,M1-1 M01 Dundalk Bypass Jn16 to Jn17
3102,M01 Southbound Off Slip Jn09 (Superceeded by 31021 from 24th Aug 2018)
3103,M01 Northbound Jn07 to Jn08 (Superceeded by 31031 on 24th Nov 2017)
3104,M01 Northbound On Slip Jn09 (superceeded by 31041 2017 - 2018)
3105,M01 Southbound Jn07 to Jn08 (Superceeded by 31031 on 24th Nov 2017)
3106,M01 Castlebellingham Jn15 to (supeceeded by 31061 November 2017)
3111,"M11 between Jn 17 and Jn18 , Glenealy Co.Wicklow"
3114,"M11 Between Jn24 Clogh and Jn 25 Enniscorthy, Co. Wexford"
3115,"M11 Between Jn25 Enniscorthy and Jn26 M11/N11, Co. Wexford"
3171,"M17 Between Jn19 N63 Roscommon and Jn18 M6 Galway, Co. Galway"
3172,"M17 Between Jn19 N63 Roscommon and Jn20 Tuam, Tuam, Co. Galway"
3173,"N17 Tuam Bypass, Co. Galway"
3181,"M18 Between Jn16 Gort and Jn17 Ardrahan, Kilcolgan, Co. Galway"
